title,client_id,manager_id,status,priority,start_date,end_date,crew_count,filled_positions,working_hours_start,working_hours_end,event_type,venue_address,venue_details,supervisors_required,color,budget,project_type,schedule_type,brand_logo
"Acson",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-04","2025-04-04",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"HSBC",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-10","2025-04-10",5,3,"09:00","18:00","corporate","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Mytown Raya",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-10","2025-04-10",5,3,"09:00","18:00","event","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Setup Crew",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-10","2025-05-29",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Softlan Instore Roadshow",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-10","2025-05-04",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Softlan Media",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-10","2025-05-15",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Launch LRT",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-11","2025-05-15",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"MCD Raya",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-11","2025-04-19",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Mytown",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-11","2025-07-26",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Ribena K",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-17","2025-04-17",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"TFP",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-18","2025-04-18",5,3,"09:00","18:00","event","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"DIY CC Lemon Cotton Candy",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-20","2025-04-20",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"FMS Jayson",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-20","2025-04-20",5,3,"09:00","18:00","event","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Mas Airline Photobooth",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-20","2025-04-20",5,3,"09:00","18:00","photobooth","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"MrDiy Mascot MCD Danau Kota",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-20","2025-04-20",5,3,"09:00","18:00","mascot activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Roots Grand Hyatt",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-22","2025-04-22",5,3,"09:00","18:00","event","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Q350-DIY Setup",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-23","2025-04-23",5,3,"09:00","18:00","setup","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Q357-DIY LBH",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-24","2025-04-24",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Softlan Media setup",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-24","2025-04-24",5,3,"09:00","18:00","media setup","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Pickleball klgcc",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-25","2025-04-25",5,3,"09:00","18:00","sports event","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Skintific",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-26","2025-04-26",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"CP Purple Serum Instore",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-27","2025-06-28",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Cedric",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-27","2025-04-27",5,3,"09:00","18:00","event","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Collect & Delivery",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-27","2025-04-27",5,3,"09:00","18:00","logistics","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"DIY Cotton Candy",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-27","2025-04-27",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Pickleball",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-27","2025-04-27",5,3,"09:00","18:00","sports event","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Q350 - DIY Mytown",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-27","2025-05-04",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"Spritzer x Pokemon Jam Sampling",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-27","2025-04-27",5,3,"09:00","18:00","sampling","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Unifi Bukit Jalil",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-27","2025-04-27",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Colgate Setup",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-30","2025-04-30",5,3,"09:00","18:00","setup","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Colgate Velocity Redoxon Schoc",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-30","2025-04-30",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"DIY Dismantle",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-04-30","2025-04-30",5,3,"09:00","18:00","dismantle","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Diy Mytown",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-01","2025-05-01",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"PA System",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-02","2025-05-02",5,3,"09:00","18:00","technical setup","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Colgate Velocity",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-03","2025-05-03",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Dr. Ora IOI Puchong",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-04","2025-05-04",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Dr. Ora Wastons Instore",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-04","2025-05-10",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
"FMS Delivery HK Photobooth Jam Sampling",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-04","2025-05-04",5,3,"09:00","18:00","delivery & sampling","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"SoTinge Speed20",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-04","2025-05-04",5,3,"09:00","18:00","activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Zenith 360 Photobooth",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-04","2025-05-04",5,3,"09:00","18:00","photobooth","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Maggie-Roots",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-06","2025-05-06",5,3,"09:00","18:00","event","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Calvin Office",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-08","2025-05-08",5,3,"09:00","18:00","office event","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Diy Mascot Mid",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-09","2025-05-09",5,3,"09:00","18:00","mascot activation","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","single",<logo_url>
"Acson Aircond",<client_uuid>,<manager_uuid>,"confirmed","medium","2025-05-10","2025-06-02",5,3,"09:00","18:00","roving","To be confirmed","Details to be confirmed",1,"#4ECDC4",1000,"recruitment","recurring",<logo_url>
